Country / Territory,Year,Date of Event,Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
Indonesia,2008,2008-01-30,40000,Weather related,Flood,Flood
Indonesia,2008,2008-01-02,49653,Weather related,Flood,Flood
India,2008,2008-08-02,1500,Weather related,Mass Movement,Landslide/Wet mass movement
India,2008,2008-05-07,2800,Weather related,Flood,Flood
India,2008,2008-11-27,101940,Weather related,Flood,Flood
India,2008,2008-11-06,2055925,Weather related,Flood,Flood
India,2008,2008-08-30,2100000,Weather related,Flood,Flood
India,2008,2008-09-14,2400000,Weather related,Flood,Flood
Iraq,2008,2008-10-09,600,Weather related,Flood,Flood
Jamaica,2008,2008-08-28,1520,Weather related,Storm,Storm
Japan,2008,2008-07-28,800,Weather related,Flood,Flood
Kenya,2008,2008-03-17,100,Weather related,Flood,Flood
Kenya,2008,2008-10-11,10000,Weather related,Flood,Flood
Kyrgyz Republic,2008,2008-05-10,1055,Geophysical,Earthquake,Earthquake
Kiribati,2008,2008-09-12,85,Weather related,Flood,Flood
Liberia,2008,2008-07-01,1000,Weather related,Flood,Flood
Sri Lanka,2008,2008-12-03,7000,Weather related,Flood,Flood
Sri Lanka,2008,2008-04-27,33408,Weather related,Storm,Storm
Madagascar,2008,2008-02-17,191182,Weather related,Storm,Storm
Mexico,2008,2008-07-20,13100,Weather related,Storm,Storm
Marshall Islands,2008,2008-10-12,600,Weather related,Flood,Flood
Mali,2008,2008-08-18,2500,Weather related,Flood,Flood
Myanmar,2008,2008-02-05,2250000,Weather related,Storm,Storm
